,episode,shot,caption
0,5531550228324592939.mp4,1,a man is riding a skateboard and doing tricks
1,5531550228324592939.mp4,2,a man is skateboarding down a ramp
2,5531550228324592939.mp4,3,a man is riding a skateboard and doing tricks
3,5531550228324592939.mp4,4,a car is driving on a track and then crashes into the barrier
4,5531550228324592939.mp4,5,a bird is perched on a tree branch
5,5531550228324592939.mp4,6,a man is dancing in a room with a lot of people
6,5531550228324592939.mp4,7,a woman is sitting at a desk with a laptop
7,5531550228324592939.mp4,8,a man is sitting at a desk and talking to a woman
8,5531550228324592939.mp4,9,a woman is sitting at a desk and talking
9,5531550228324592939.mp4,10,a man is pouring a drink into a glass
10,5531550228324592939.mp4,11,a woman is talking to a man and he is smiling
11,5531550228324592939.mp4,12,a woman is talking to a man and he is smiling
12,5531550228324592939.mp4,13,a woman is kissing a man on the cheek
13,5531550228324592939.mp4,14,a woman is kissing a man on his cheek
14,5531550228324592939.mp4,15,a woman is drinking from a bottle and then she falls
15,5531550228324592939.mp4,16,a woman is talking to a man and he is smiling
16,5531550228324592939.mp4,17,a woman in a pink dress is dancing
17,5531550228324592939.mp4,18,a man is talking to a woman and she is smiling
18,5531550228324592939.mp4,19,a man is kissing a woman on the cheek
19,5531550228324592939.mp4,20,a woman is talking to a man and he is smiling
20,5531550228324592939.mp4,21,a woman is dancing in front of a mirror
21,5531550228324592939.mp4,22,a man is talking to a woman and she is smiling
22,5531550228324592939.mp4,23,a woman is dancing in a room
23,5531550228324592939.mp4,24,a man is holding a woman s face and kisses her
24,5531550228324592939.mp4,25,a woman is dancing in a room
25,5531550228324592939.mp4,26,a woman is talking to a man and he is smiling
26,5531550228324592939.mp4,27,a man is dancing in front of a mirror
27,5531550228324592939.mp4,28,a man is dancing in a kitchen
28,5531550228324592939.mp4,29,a woman with long hair is smiling and talking
29,5531550228324592939.mp4,30,a man is kissing a woman s hand
30,5531550228324592939.mp4,31,a woman is holding a glass and making a face
31,5531550228324592939.mp4,32,a woman is dancing on stage with a microphone
32,5531550228324592939.mp4,33,a woman is dancing in front of a mirror
33,5531550228324592939.mp4,34,a woman is talking to a man and he is smiling
34,5531550228324592939.mp4,35,a woman is smiling and waving her hand
35,5531550228324592939.mp4,36,a woman is smiling and making a face
36,5531550228324592939.mp4,37,a woman is pouring a drink into a glass
37,5531550228324592939.mp4,38,a woman is smiling and making a face
38,5531550228324592939.mp4,39,a woman is holding a bottle of wine in her hand
39,5531550228324592939.mp4,40,a woman with long hair is smiling and talking
40,5531550228324592939.mp4,41,a woman with long hair is smiling and talking
41,5531550228324592939.mp4,42,a woman is talking to a man who is wearing a red shirt
42,5531550228324592939.mp4,43,a woman with long hair is talking and smiling
43,5531550228324592939.mp4,44,a man is walking and then he stops and looks at his friend
44,5531550228324592939.mp4,45,a man is walking down a street and then he stops and looks at the ground
45,5531550228324592939.mp4,46,a man is riding a bicycle down a path
46,5531550228324592939.mp4,47,a man and a woman are walking down a path
47,5531550228324592939.mp4,48,a man and a woman are walking down a street
48,5531550228324592939.mp4,49,a man is walking down a street and then he stops
49,5531550228324592939.mp4,50,a man and a woman are walking down a street
50,5531550228324592939.mp4,51,a man is walking and smiling at someone
51,5531550228324592939.mp4,52,a man is walking down a street and then he stops
52,5531550228324592939.mp4,53,a man is walking down a street and talking to another man
53,5531550228324592939.mp4,54,a man is smiling and laughing while he is walking
54,5531550228324592939.mp4,55,a woman is talking to a man and he is smiling
55,5531550228324592939.mp4,56,a man is walking and smiling at someone
56,5531550228324592939.mp4,57,a man is talking to a woman and she is smiling
57,5531550228324592939.mp4,58,a man is walking down a street and smiling
58,5531550228324592939.mp4,59,a man is walking down a path with a serious look on his face
59,5531550228324592939.mp4,60,a man is holding a banana in his hands
